tracking_number,branch,shipped_at,delivered_at,weight_kg,status,claims,transit_days
AM-001,Hawassa,2024-11-14,,7.881129432782428,in_transit,0,
AM-002,Bahir,2024-11-09,2024-11-10,6.132061395122432,delivered,0,1.0
AM-004,Unknown,2024-11-20,,7.2319588451509915,delivered,0,
AM-005,Hawassa,2024-11-17,2024-11-19,5.059254691414409,delivered,0,2.0
AM-007,Hawassa,2024-11-16,,7.58669447039985,delivered,0,
AM-008,Dire,2024-11-12,2024-11-15,5.1454947073269315,delivered,0,3.0
AM-009,Hawassa,2024-11-14,2024-11-18,6.024988237455375,delivered,0,4.0
AM-010,Addis,2024-11-04,,6.7995484534468735,delivered,0,
AM-012,Hawassa,2024-11-10,2024-11-14,6.043704291046886,delivered,1,4.0
AM-013,Addis,2024-11-14,2024-11-15,4.720496934500504,delivered,0,1.0
AM-014,Hawassa,2024-11-02,2024-11-03,11.82772493201466,delivered,0,1.0
AM-015,Addis,2024-11-08,,5.682730325922623,in_transit,0,
AM-017,Adama,2024-11-10,2024-11-15,7.863146025748488,delivered,0,5.0
AM-018,Unknown,2024-11-04,,6.319983227146876,delivered,0,
AM-019,Hawassa,2024-11-08,,3.26368160150867,in_transit,0,
AM-021,Addis,2024-11-07,2024-11-12,3.562373879152744,delivered,0,5.0
AM-023,Addis,2024-11-10,2024-11-11,9.75368922256334,delivered,0,1.0
AM-024,Hawassa,2024-11-20,2024-11-22,3.875171176280874,delivered,0,2.0
AM-025,Bahir,2024-11-11,2024-11-13,3.8064288430907207,delivered,1,2.0
AM-026,Addis,2024-11-05,,6.869532148933237,in_transit,0,
AM-027,Addis,2024-11-17,,8.025431635639658,delivered,0,
AM-028,Addis,2024-11-05,,6.771693105113002,delivered,0,
AM-029,Addis,2024-11-17,,3.779138631171044,in_transit,0,
AM-030,Bahir,2024-11-17,2024-11-22,0.8666831181374048,delivered,0,5.0
AM-031,Dire,2024-11-18,2024-11-22,5.8773513083423055,delivered,0,4.0
AM-032,Adama,2024-11-07,,5.406858092930583,delivered,0,
AM-033,Bahir,2024-11-17,,7.46154938227729,delivered,0,
AM-034,Adama,2024-11-15,2024-11-19,4.657719445206838,delivered,0,4.0
AM-035,Hawassa,2024-11-12,2024-11-14,4.817793149617788,delivered,1,2.0
AM-036,Dire,2024-11-12,,6.468801785397392,in_transit,0,
AM-037,Adama,2024-11-12,2024-11-15,8.962911095317946,delivered,0,3.0
AM-039,Adama,2024-11-03,,4.411727419949152,delivered,0,
AM-042,Addis,2024-11-06,2024-11-11,7.498867799455481,delivered,0,5.0
AM-043,Bahir,2024-11-11,,4.325203552345076,delivered,0,
AM-044,Addis,2024-11-02,,5.737826698624547,delivered,1,
AM-045,Hawassa,2024-11-18,,8.641323311056334,delivered,0,
AM-046,Dire,2024-11-19,,6.138762270265557,delivered,0,
AM-047,Addis,2024-11-19,,5.082649430121334,delivered,0,
AM-048,Hawassa,2024-11-13,,8.127703065468717,in_transit,0,
AM-049,Adama,2024-11-07,,5.886433611214617,in_transit,0,
AM-050,Addis,2024-11-02,,6.73306281447446,in_transit,0,
AM-051,Addis,2024-11-02,,3.00987833954559,in_transit,0,
AM-052,Unknown,2024-11-02,,4.880855427901021,in_transit,0,
AM-053,Addis,2024-11-20,,4.623255435538481,delivered,0,
AM-054,Dire,2024-11-04,2024-11-09,6.5164576466453905,delivered,0,5.0
AM-055,Bahir,2024-11-16,,4.426868449791662,delivered,0,
AM-056,Dire,2024-11-10,,6.770075875312202,delivered,0,
AM-057,Dire,2024-11-07,2024-11-12,4.222405373538163,delivered,0,5.0
AM-059,Bahir,2024-11-07,,6.726908675678146,in_transit,0,
AM-060,Hawassa,2024-11-17,,6.470896736619861,delivered,0,
AM-061,Addis,2024-11-11,2024-11-15,7.62520257550729,delivered,0,4.0
AM-062,Adama,2024-11-09,,2.6288053652303836,delivered,0,
AM-064,Hawassa,2024-11-06,,9.221873990023788,in_transit,0,
AM-065,Adama,2024-11-05,2024-11-09,7.049014750572172,delivered,0,4.0
AM-066,Unknown,2024-11-02,2024-11-06,6.328781405954604,in_transit,0,4.0
AM-067,Bahir,2024-11-12,,5.352416591426799,delivered,0,
AM-068,Adama,2024-11-07,2024-11-12,7.56968807321627,delivered,0,5.0
AM-069,Bahir,2024-11-15,,5.66614413978287,in_transit,0,
AM-070,Adama,2024-11-06,2024-11-10,7.581603442357978,delivered,0,4.0
AM-071,Addis,2024-11-06,2024-11-07,4.072723111262392,delivered,0,1.0
AM-073,Dire,2024-11-09,,3.955439436705341,in_transit,0,
AM-075,Addis,2024-11-19,2024-11-20,1.5054628893182889,delivered,0,1.0
AM-076,Addis,2024-11-03,,4.213738756830274,in_transit,0,
AM-077,Dire,2024-11-15,2024-11-20,7.279252818995804,delivered,0,5.0
AM-078,Addis,2024-11-15,2024-11-16,9.363633238601647,delivered,0,1.0
AM-080,Adama,2024-11-11,,5.594172030408904,in_transit,0,
AM-081,Hawassa,2024-11-20,,7.991402771799847,delivered,0,
AM-083,Dire,2024-11-12,2024-11-16,5.19601483974159,delivered,0,4.0
AM-084,Addis,2024-11-18,,6.058219893153338,delivered,0,
AM-085,Adama,2024-11-15,,4.211307907844942,in_transit,0,
AM-086,Dire,2024-11-17,,6.262115652092288,in_transit,0,
AM-087,Adama,2024-11-15,2024-11-16,6.062171175542305,delivered,0,1.0
AM-088,Addis,2024-11-04,,6.167962006628908,in_transit,0,
AM-089,Dire,2024-11-03,2024-11-04,7.448565354912456,delivered,0,1.0
AM-090,Adama,2024-11-03,,3.6560568141984104,in_transit,0,
AM-091,Adama,2024-11-20,,5.183222745490547,delivered,0,
AM-092,Dire,2024-11-11,,5.705115020163666,in_transit,0,
AM-093,Dire,2024-11-04,,6.794066600030982,delivered,0,
AM-094,Addis,2024-11-07,,4.265989487353147,delivered,0,
AM-095,Addis,2024-11-08,,8.330615071094353,in_transit,0,
AM-096,Addis,2024-11-03,2024-11-04,7.772787919135904,delivered,0,1.0
AM-097,Hawassa,2024-11-19,,6.955058674533591,delivered,0,
AM-099,Bahir,2024-11-16,2024-11-17,5.787636138754848,delivered,0,1.0
AM-100,Bahir,2024-11-13,,6.458963430927213,delivered,1,
AM-101,Bahir,2024-11-16,,8.95854902134846,delivered,0,
AM-102,Dire,2024-11-04,,5.171053868328283,in_transit,1,
AM-103,Dire,2024-11-17,,2.6898093136296324,in_transit,0,
AM-104,Dire,2024-11-04,2024-11-09,6.8196569146573855,delivered,0,5.0
AM-105,Unknown,2024-11-19,,6.970322225091476,delivered,0,
AM-106,Bahir,2024-11-14,,4.475353083944696,delivered,0,
AM-107,Hawassa,2024-11-13,2024-11-17,8.944029132980267,delivered,0,4.0
AM-108,Adama,2024-11-10,2024-11-12,3.8560748954195616,delivered,0,2.0
AM-109,Addis,2024-11-01,,11.618421722459006,delivered,1,
AM-110,Hawassa,2024-11-09,,7.3064897665624535,delivered,0,
AM-111,Bahir,2024-11-17,,7.94732702268818,delivered,0,
AM-112,Adama,2024-11-15,,8.607130135616174,in_transit,0,
AM-114,Hawassa,2024-11-15,2024-11-20,5.512207779645324,delivered,0,5.0
AM-115,Dire,2024-11-07,,6.007592503242918,delivered,0,
AM-116,Addis,2024-11-04,,6.368115662543131,in_transit,0,
AM-117,Adama,2024-11-04,,1.098255742919827,in_transit,0,
AM-119,Dire,2024-11-12,2024-11-14,2.799588301913045,delivered,0,2.0
AM-120,Addis,2024-11-16,2024-11-17,5.367604590837624,delivered,0,1.0
AM-121,Addis,2024-11-05,2024-11-08,4.146933777685699,delivered,0,3.0
AM-122,Dire,2024-11-04,,10.563265754552123,delivered,0,
AM-123,Addis,2024-11-02,2024-11-05,8.649911358763262,delivered,0,3.0
AM-124,Adama,2024-11-03,2024-11-08,4.9008947577398345,delivered,0,5.0
AM-125,Addis,2024-11-17,2024-11-19,9.103760240244977,delivered,0,2.0
AM-126,Adama,2024-11-04,2024-11-08,7.934598471685545,delivered,0,4.0
AM-127,Addis,2024-11-07,,6.194826825915564,delivered,0,
AM-130,Dire,2024-11-18,,5.121892179790125,delivered,0,
AM-131,Bahir,2024-11-20,,0.9076637303542734,delivered,0,
AM-132,Dire,2024-11-03,,4.649772095713077,in_transit,0,
AM-133,Bahir,2024-11-03,,4.878491671824509,delivered,1,
AM-134,Addis,2024-11-04,,7.7530872081630395,delivered,0,
AM-135,Dire,2024-11-02,2024-11-04,4.946569216107584,delivered,1,2.0
AM-136,Adama,2024-11-01,,6.705254407834345,in_transit,0,
AM-137,Dire,2024-11-16,2024-11-19,2.5335817935820337,delivered,0,3.0
AM-138,Adama,2024-11-03,,2.7894575057348647,in_transit,0,
AM-139,Unknown,2024-11-20,2024-11-24,5.365122890324636,delivered,0,4.0
AM-140,Adama,2024-11-10,,6.924424978021249,delivered,0,
AM-141,Addis,2024-11-01,2024-11-06,4.83869719450883,delivered,0,5.0
AM-142,Adama,2024-11-02,,8.735814901441941,in_transit,0,
AM-143,Hawassa,2024-11-03,,8.802372550067792,delivered,0,
AM-144,Addis,2024-11-17,2024-11-18,6.4738972230919,delivered,0,1.0
AM-145,Bahir,2024-11-05,2024-11-07,6.58008079296707,delivered,0,2.0
AM-146,Hawassa,2024-11-19,,10.599178186074639,delivered,0,
AM-147,Adama,2024-11-08,,3.279483267421346,delivered,0,
AM-148,Dire,2024-11-12,,5.218644794801609,in_transit,0,
AM-149,Hawassa,2024-11-03,,3.2539939662289217,delivered,0,
AM-150,Bahir,2024-11-08,,3.699829011695273,in_transit,0,
AM-151,Addis,2024-11-05,2024-11-08,1.7856153053406238,delivered,0,3.0
AM-152,Addis,2024-11-11,,8.624050524439829,in_transit,0,
AM-154,Bahir,2024-11-16,,10.017510772370278,in_transit,0,
AM-155,Adama,2024-11-12,2024-11-13,5.790083687999655,delivered,0,1.0
AM-156,Addis,2024-11-09,,5.26906081177155,in_transit,0,
AM-157,Dire,2024-11-19,2024-11-24,4.36684978508885,delivered,0,5.0
AM-159,Addis,2024-11-16,2024-11-21,7.100404992052882,delivered,0,5.0
AM-160,Bahir,2024-11-11,,5.652324599810767,in_transit,0,
AM-161,Addis,2024-11-20,,8.265379641039178,in_transit,0,
AM-162,Hawassa,2024-11-15,,5.232398148584509,in_transit,0,
AM-163,Dire,2024-11-19,,6.64802504837996,in_transit,0,
AM-164,Adama,2024-11-05,,1.3114042124226453,in_transit,0,
AM-165,Hawassa,2024-11-13,,8.169030321859932,in_transit,0,
AM-166,Adama,2024-11-03,2024-11-07,7.2967880224774255,delivered,0,4.0
AM-167,Addis,2024-11-06,,5.527107160070973,delivered,0,
AM-168,Hawassa,2024-11-14,2024-11-15,4.607575896840201,delivered,0,1.0
AM-169,Dire,2024-11-20,,2.7698982188304244,in_transit,0,
AM-170,Hawassa,2024-11-07,,4.720993218225049,delivered,1,
AM-171,Dire,2024-11-11,2024-11-16,6.356850395048205,delivered,0,5.0
AM-172,Hawassa,2024-11-03,,6.473652233576055,delivered,0,
AM-173,Bahir,2024-11-03,,6.253193420555387,in_transit,0,
AM-174,Addis,2024-11-03,,8.254709523284845,delivered,0,
AM-175,Bahir,2024-11-20,2024-11-23,7.829248107973693,delivered,0,3.0
AM-176,Dire,2024-11-09,,4.846007257244933,delivered,0,
AM-177,Dire,2024-11-18,,10.53528840779851,delivered,0,
